scenario,replication,entity_id,group,severity,severity_category,status,event,event_time,time_to_first_service,received_service,time_to_stage2,reached_stage2,x,y
A-S01,2,38,B,0.487,P3,ACTIVE,0,465,94,1,30,1,22.02,43.59
A-S01,2,39,B,0.591,P2,ACTIVE,0,187,38,1,31,1,44.27,1.51
A-S01,2,40,B,0.859,P1,ACTIVE,0,581,14,1,136,1,38.92,36.29
A-S01,2,41,B,0.424,P3,ACTIVE,0,47,31,1,175,1,35.31,38.27
A-S01,2,42,B,0.284,P3,ACTIVE,0,1320,25,1,85,1,32.47,14.39
A-S01,2,43,C,0.187,P4,ACTIVE,0,267,100,1,163,1,9.28,27.37
A-S01,2,44,B,0.162,P4,TERMINATED,1,1160,38,1,357,1,34.34,7.02
A-S01,2,45,B,0.629,P2,ACTIVE,0,233,54,1,226,1,5.27,10.04
A-S01,2,46,C,0.17,P4,TERMINATED,1,296,35,1,102,0,2.1,41.23
A-S01,2,47,A,0.577,P2,ACTIVE,0,287,83,1,256,0,11.75,24.73
A-S01,2,48,A,0.231,P4,ACTIVE,0,216,30,1,145,1,37.38,48.51
A-S01,2,49,A,0.227,P4,ACTIVE,0,37,60,1,84,1,39.66,37.81
A-S01,2,50,C,0.174,P4,ACTIVE,0,100,61,1,18,1,45.19,10.1
A-S01,2,51,A,0.322,P3,TERMINATED,1,85,104,1,126,1,27.9,38.24
A-S01,2,52,A,0.329,P3,ACTIVE,0,692,205,1,209,1,0.59,19.17
A-S01,2,53,B,0.39,P3,TERMINATED,1,224,53,1,49,0,10.69,20.57
A-S01,2,54,C,0.843,P1,ACTIVE,0,138,44,1,4,0,21.5,23.44
A-S01,2,55,B,0.78,P1,ACTIVE,0,103,13,1,178,1,49.24,0.47
A-S01,2,56,A,0.847,P1,TERMINATED,1,296,61,1,240,0,3.84,14.35
A-S01,2,57,B,0.185,P4,ACTIVE,0,7,39,1,215,1,8.9,13.31
A-S01,2,58,A,0.242,P4,ACTIVE,0,825,8,1,274,1,2.73,31.57
A-S01,2,59,B,0.208,P4,ACTIVE,0,560,35,0,69,1,20.25,40.47
A-S01,2,60,B,0.465,P3,ACTIVE,0,254,83,1,241,1,25.73,8.31
A-S01,2,61,C,0.637,P2,ACTIVE,0,22,19,1,312,0,10.91,28.66
A-S01,2,62,A,0.562,P2,ACTIVE,0,317,64,1,110,1,0.77,36.47
A-S01,2,63,C,0.833,P1,TERMINATED,1,744,45,1,99,1,7.89,37.74
A-S01,2,64,B,0.318,P3,ACTIVE,0,272,73,1,133,0,1.72,9.53
A-S01,2,65,A,0.188,P4,TERMINATED,1,345,6,1,446,0,3.18,27.89
A-S01,2,66,A,0.57,P2,ACTIVE,0,196,14,1,139,1,26.25,20.66
A-S01,2,67,A,0.697,P2,TERMINATED,1,1110,177,1,620,0,31,31.12
A-S01,2,68,A,0.804,P1,ACTIVE,0,92,118,1,277,1,1.07,33.36
A-S01,2,69,B,0.672,P2,ACTIVE,0,96,6,1,32,1,44.71,48.05
A-S01,2,70,A,0.333,P3,ACTIVE,0,92,31,0,436,1,14.79,32.91
A-S01,2,71,C,0.594,P2,ACTIVE,0,35,45,1,201,1,49.56,38.46
A-S01,2,72,A,0.827,P1,ACTIVE,0,565,45,1,24,1,19.04,35.55
A-S01,2,73,B,0.527,P2,ACTIVE,0,870,175,1,218,1,29.82,47.99
A-S01,2,74,B,0.229,P4,ACTIVE,0,213,55,1,34,1,44.77,32.34
A-S01,2,75,A,0.357,P3,ACTIVE,0,433,20,1,317,1,35.91,13.02
A-S01,2,76,B,0.842,P1,TERMINATED,1,223,40,1,80,1,31.25,42.85
A-S01,2,77,C,0.629,P2,TERMINATED,1,695,36,1,11,1,42.75,28.24
A-S01,2,78,A,0.173,P4,ACTIVE,0,69,35,0,226,1,21.81,8.17
A-S01,2,79,A,0.476,P3,TERMINATED,1,194,170,1,184,1,36.89,20.31
A-S01,2,80,B,0.34,P3,ACTIVE,0,513,74,1,20,1,44.75,20.86
A-S01,3,1,A,0.389,P3,ACTIVE,0,459,189,1,50,1,47.36,33.73
A-S01,3,2,A,0.204,P4,ACTIVE,0,55,17,0,159,1,40.95,18.23
A-S01,3,3,B,0.177,P4,ACTIVE,0,316,200,1,559,1,39.3,17.27
A-S01,3,4,C,0.434,P3,ACTIVE,0,60,175,1,47,1,46.03,24.76
A-S01,3,5,A,0.719,P2,ACTIVE,0,583,25,1,44,1,31.56,33.32
A-S01,3,6,A,0.323,P3,ACTIVE,0,345,106,1,323,0,5.51,37.81
A-S01,3,7,B,0.611,P2,TERMINATED,1,78,104,1,232,1,14.61,41.29
A-S01,3,8,B,0.836,P1,ACTIVE,0,705,160,1,8,0,1.01,44.1
A-S01,3,9,A,0.311,P3,ACTIVE,0,238,68,1,221,0,5.37,38.2
A-S01,3,10,A,0.535,P2,ACTIVE,0,470,27,1,207,1,39.13,24.88
A-S01,3,11,A,0.62,P2,ACTIVE,0,273,89,1,301,1,42.31,28.7
A-S01,3,12,A,0.822,P1,ACTIVE,0,285,24,0,74,0,17.46,14.08
A-S01,3,13,A,0.117,P4,ACTIVE,0,183,18,1,121,0,26.54,48.97
A-S01,3,14,A,0.348,P3,ACTIVE,0,59,122,1,342,1,11.34,31.24
A-S01,3,15,B,0.435,P3,ACTIVE,0,228,96,1,339,0,29.29,48.22
A-S01,3,16,B,0.465,P3,ACTIVE,0,316,51,1,38,1,47.21,16.24
A-S01,3,17,B,0.442,P3,ACTIVE,0,352,127,1,103,1,23.57,28.7
A-S01,3,18,B,0.336,P3,ACTIVE,0,372,73,1,186,1,42.13,2.91
A-S01,3,19,A,0.407,P3,ACTIVE,0,339,28,1,45,0,7.63,26.34
A-S01,3,20,B,0.942,P1,ACTIVE,0,432,131,1,66,1,23.32,22.67
A-S01,3,21,A,0.325,P3,ACTIVE,0,359,55,1,195,1,21.04,39.46
A-S01,3,22,B,0.26,P3,ACTIVE,0,635,25,1,27,1,31.28,37.18
A-S01,3,23,A,0.558,P2,ACTIVE,0,581,84,1,3,1,35.9,29.42
A-S01,3,24,B,0.493,P3,ACTIVE,0,43,128,1,142,1,37.65,17.07
A-S01,3,25,B,0.207,P4,TERMINATED,1,782,37,1,34,0,33.01,25.9
A-S01,3,26,A,0.484,P3,ACTIVE,0,63,251,0,159,0,10.8,28.38
A-S01,3,27,C,0.744,P2,ACTIVE,0,1036,143,1,178,1,4.93,15.31
A-S01,3,28,B,0.77,P1,TERMINATED,1,533,91,1,191,0,49.75,10.5
A-S01,3,29,C,0.664,P2,ACTIVE,0,502,60,1,94,1,4.61,34.98
A-S01,3,30,C,0.829,P1,TERMINATED,1,70,255,0,316,1,11.35,44.11
A-S01,3,31,A,0.834,P1,TERMINATED,1,286,95,1,36,0,26.55,10.76
A-S01,3,32,C,0.367,P3,ACTIVE,0,115,76,1,92,1,3.83,10.5
A-S01,3,33,C,0.189,P4,ACTIVE,0,339,40,1,181,1,16.72,14.24
A-S01,3,34,B,0.256,P3,ACTIVE,0,483,35,0,165,1,19.81,21.19
A-S01,3,35,A,0.419,P3,TERMINATED,1,177,131,0,425,1,38.19,40
A-S01,3,36,B,0.831,P1,TERMINATED,1,44,54,1,127,0,21.77,42.62
A-S01,3,37,A,0.437,P3,TERMINATED,1,125,86,1,417,1,2.72,46.77
A-S01,3,38,B,0.113,P4,ACTIVE,0,204,144,1,111,1,30.41,41.95
A-S01,3,39,B,0.156,P4,ACTIVE,0,446,27,1,282,1,37.51,18.77
A-S01,3,40,B,0.262,P3,ACTIVE,0,182,61,1,74,1,16.29,43.77
A-S01,3,41,A,0.374,P3,TERMINATED,1,422,41,1,59,1,2.99,9.9
A-S01,3,42,B,0.443,P3,TERMINATED,1,26,98,1,115,1,29.56,37.14
A-S01,3,43,B,0.217,P4,ACTIVE,0,672,116,1,19,0,21.87,10.52
A-S01,3,44,B,0.739,P2,ACTIVE,0,725,14,1,116,1,31.29,4.9
A-S01,3,45,B,0.479,P3,ACTIVE,0,40,67,1,75,1,35.24,18.55
A-S01,3,46,B,0.341,P3,TERMINATED,1,143,24,0,8,0,49.42,3.74
A-S01,3,47,B,0.39,P3,ACTIVE,0,44,73,0,341,1,19.54,21.77
A-S01,3,48,C,0.728,P2,ACTIVE,0,131,72,1,22,1,24.51,48.07
A-S01,3,49,C,0.533,P2,ACTIVE,0,21,87,1,276,0,10.31,12.24
A-S01,3,50,C,0.43,P3,ACTIVE,0,108,17,1,54,0,40.08,44.42
A-S01,3,51,C,0.333,P3,ACTIVE,0,322,56,0,99,1,44.78,31.76
A-S01,3,52,C,0.361,P3,ACTIVE,0,460,10,1,58,1,1.61,23.73
A-S01,3,53,B,0.19,P4,ACTIVE,0,406,8,1,37,1,11.59,6.06
A-S01,3,54,B,0.315,P3,ACTIVE,0,155,84,1,39,1,37.97,21.38
A-S01,3,55,A,0.721,P2,ACTIVE,0,585,155,1,21,1,35.22,31.98
A-S01,3,56,A,0.905,P1,ACTIVE,0,488,48,1,155,0,2.35,26.19
A-S01,3,57,A,0.826,P1,ACTIVE,0,58,94,1,17,1,43.1,16.44
A-S01,3,58,B,0.855,P1,ACTIVE,0,232,54,0,187,1,46.27,14.37
A-S01,3,59,C,0.136,P4,ACTIVE,0,148,116,1,455,1,40.02,21.67
A-S01,3,60,A,0.462,P3,ACTIVE,0,188,11,0,29,1,27.26,27.08
A-S01,3,61,A,0.844,P1,ACTIVE,0,246,31,1,69,1,44.47,38.18
A-S01,3,62,A,0.639,P2,TERMINATED,1,374,23,1,34,1,16.23,19.1
A-S01,3,63,B,0.496,P3,ACTIVE,0,757,54,1,147,0,49.4,42.04
A-S01,3,64,B,0.825,P1,ACTIVE,0,73,78,1,1,1,40.56,19.65
A-S01,3,65,A,0.399,P3,TERMINATED,1,461,207,1,72,0,28.89,28.91
A-S01,3,66,B,0.29,P3,ACTIVE,0,79,58,1,335,1,16.01,12.72
A-S01,3,67,A,0.761,P1,ACTIVE,0,92,38,1,259,0,13.21,6.42
A-S01,3,68,C,0.249,P4,ACTIVE,0,123,35,1,67,1,40.58,23.71
A-S01,3,69,A,0.649,P2,ACTIVE,0,226,11,1,214,1,21.3,1.12
A-S01,3,70,C,0.526,P2,ACTIVE,0,127,85,1,89,1,23.79,7.43
A-S01,3,71,A,0.397,P3,ACTIVE,0,180,30,1,92,1,29.54,23.13
A-S01,3,72,A,0.86,P1,TERMINATED,1,67,91,1,82,1,46.41,45.61
A-S01,3,73,C,0.3,P3,ACTIVE,0,166,24,0,69,1,40.8,16.23
A-S01,3,74,B,0.612,P2,ACTIVE,0,660,115,0,98,1,18.71,16.38
A-S01,3,75,C,0.907,P1,TERMINATED,1,43,169,1,23,1,28.58,18.86
A-S01,3,76,C,0.72,P2,ACTIVE,0,153,115,1,52,1,12.65,25.22
A-S01,3,77,B,0.291,P3,ACTIVE,0,366,40,1,102,1,8.73,14.56
A-S01,3,78,A,0.795,P1,ACTIVE,0,131,2,1,55,1,37.43,41.77
A-S01,3,79,A,0.412,P3,ACTIVE,0,533,8,1,25,1,27.89,26.16
A-S01,3,80,C,0.126,P4,ACTIVE,0,198,116,0,41,1,8.54,18.16
A-S01,4,1,C,0.443,P3,ACTIVE,0,169,70,1,62,0,19.97,39.1
A-S01,4,2,A,0.939,P1,ACTIVE,0,45,78,1,261,1,15.96,33.64
A-S01,4,3,A,0.683,P2,ACTIVE,0,167,13,0,45,1,13.86,12.31
A-S01,4,4,A,0.379,P3,ACTIVE,0,216,80,1,20,0,26.45,43.38
A-S01,4,5,A,0.799,P1,TERMINATED,1,21,83,1,106,1,30.08,49.47
A-S01,4,6,C,0.942,P1,ACTIVE,0,248,293,1,356,1,35.36,32.71
A-S01,4,7,B,0.664,P2,ACTIVE,0,74,8,1,13,1,10.38,5.71
A-S01,4,8,B,0.368,P3,ACTIVE,0,30,30,1,54,0,6.45,40.68
A-S01,4,9,A,0.253,P3,ACTIVE,0,18,20,1,77,1,21.58,42.2
A-S01,4,10,B,0.247,P4,ACTIVE,0,391,68,1,577,1,30.67,6.13
A-S01,4,11,A,0.921,P1,ACTIVE,0,908,60,1,117,1,0.4,21.15
A-S01,4,12,B,0.23,P4,ACTIVE,0,92,31,1,289,0,19.64,23.49
A-S01,4,13,C,0.779,P1,TERMINATED,1,367,32,1,326,0,34.58,5.46
A-S01,4,14,A,0.463,P3,TERMINATED,1,104,98,1,478,0,18.77,11.48
A-S01,4,15,A,0.636,P2,ACTIVE,0,169,92,1,192,1,42.88,35.23
A-S01,4,16,A,0.455,P3,ACTIVE,0,23,163,1,85,0,38.35,13.35
A-S01,4,17,B,0.154,P4,ACTIVE,0,54,94,1,114,1,36.45,34.07
A-S01,4,18,B,0.519,P2,ACTIVE,0,169,61,1,148,1,32.97,25.87
A-S01,4,19,A,0.235,P4,ACTIVE,0,801,30,1,44,1,42.75,2.53
A-S01,4,20,C,0.551,P2,ACTIVE,0,312,100,1,136,1,12.53,31.78
A-S01,4,21,A,0.375,P3,ACTIVE,0,373,54,1,760,1,9.66,43.51
A-S01,4,22,B,0.205,P4,ACTIVE,0,54,99,1,159,1,27.01,7.17
A-S01,4,23,A,0.153,P4,TERMINATED,1,497,58,1,20,0,34.41,37.33
A-S01,4,24,A,0.851,P1,TERMINATED,1,438,10,1,161,1,10.71,30.88
A-S01,4,25,A,0.662,P2,ACTIVE,0,104,70,1,19,1,17.66,25.12
A-S01,4,26,A,0.451,P3,TERMINATED,1,70,60,1,54,1,6.07,19.49
A-S01,4,27,B,0.632,P2,ACTIVE,0,542,61,1,113,1,22.11,2.26
A-S01,4,28,A,0.585,P2,TERMINATED,1,11,4,1,26,0,9.05,14.76
A-S01,4,29,B,0.519,P2,ACTIVE,0,52,176,1,8,1,23.03,23.77
A-S01,4,30,A,0.13,P4,ACTIVE,0,268,49,0,278,1,22.71,27.85
A-S01,4,31,A,0.824,P1,ACTIVE,0,63,63,1,60,1,29.51,42.87
A-S01,4,32,A,0.394,P3,ACTIVE,0,21,130,1,112,0,49.42,3.24
A-S01,4,33,A,0.247,P4,ACTIVE,0,758,101,1,220,1,40.25,22.52
A-S01,4,34,A,0.429,P3,ACTIVE,0,291,52,1,308,1,32.62,14.92
A-S01,4,35,C,0.201,P4,ACTIVE,0,485,116,1,564,0,32.23,4.95
A-S01,4,36,A,0.201,P4,ACTIVE,0,170,140,1,52,0,35.88,40.62
A-S01,4,37,B,0.413,P3,ACTIVE,0,13,99,1,397,1,26.81,1.67
A-S01,4,38,B,0.528,P2,ACTIVE,0,533,49,1,585,1,0.48,17.67
A-S01,4,39,C,0.196,P4,ACTIVE,0,175,16,1,351,1,14.9,46.08
A-S01,4,40,A,0.32,P3,ACTIVE,0,317,50,1,163,1,18.64,40.66
A-S01,4,41,A,0.388,P3,ACTIVE,0,139,19,1,540,0,36.98,10.71
A-S01,4,42,A,0.872,P1,TERMINATED,1,19,54,1,593,0,33.31,23.76
A-S01,4,43,C,0.148,P4,TERMINATED,1,474,88,1,215,1,37.01,13.08
A-S01,4,44,A,0.344,P3,ACTIVE,0,79,32,0,70,1,6.18,6.99
A-S01,4,45,C,0.493,P3,ACTIVE,0,198,70,1,223,0,3.43,3.36
A-S01,4,46,B,0.517,P2,TERMINATED,1,318,177,1,62,1,16.16,37.23
A-S01,4,47,A,0.368,P3,ACTIVE,0,180,25,1,92,1,5.91,10.35
A-S01,4,48,A,0.865,P1,ACTIVE,0,215,200,1,58,1,9.08,44.08
A-S01,4,49,A,0.557,P2,TERMINATED,1,281,185,1,233,1,19.55,37.45
A-S01,4,50,B,0.279,P3,ACTIVE,0,411,247,1,86,1,13.27,28.05
A-S01,4,51,A,0.376,P3,ACTIVE,0,183,29,1,55,1,15.59,14.24
A-S01,4,52,A,0.599,P2,ACTIVE,0,882,21,1,171,1,43.93,42.93
A-S01,4,53,C,0.227,P4,ACTIVE,0,48,20,1,147,1,4.2,44.09
A-S01,4,54,B,0.418,P3,ACTIVE,0,807,161,1,88,1,17.22,16.86
A-S01,4,55,A,0.502,P2,ACTIVE,0,261,67,1,144,1,41.82,18.68
A-S01,4,56,A,0.509,P2,ACTIVE,0,314,190,1,73,1,23.22,45.44
A-S01,4,57,B,0.598,P2,TERMINATED,1,270,13,1,23,1,32.26,17.52
A-S01,4,58,B,0.168,P4,ACTIVE,0,128,43,0,25,1,34.88,8.44
A-S01,4,59,C,0.244,P4,ACTIVE,0,75,2,1,106,1,17.49,9.48
A-S01,4,60,B,0.707,P2,ACTIVE,0,392,30,0,300,1,28.32,26.98
A-S01,4,61,A,0.248,P4,ACTIVE,0,77,18,1,406,1,43.48,23.42
A-S01,4,62,B,0.395,P3,ACTIVE,0,328,65,1,134,1,15.53,43.36
A-S01,4,63,B,0.219,P4,ACTIVE,0,385,118,1,177,1,30.97,36.56
A-S01,4,64,B,0.215,P4,ACTIVE,0,239,63,1,370,1,27.33,36.59
A-S01,4,65,B,0.331,P3,ACTIVE,0,475,45,0,198,1,44.75,7.45
A-S01,4,66,C,0.139,P4,ACTIVE,0,1005,16,1,104,1,10.28,7.52
A-S01,4,67,A,0.547,P2,TERMINATED,1,79,126,1,321,0,43.1,39.84
A-S01,4,68,B,0.391,P3,ACTIVE,0,28,15,0,102,0,31.1,37.09
