scenario,replication,entity_id,group,severity,severity_category,status,event,event_time,time_to_first_service,received_service,time_to_stage2,reached_stage2,x,y
A-S07,1,29,A,0.653,P2,ACTIVE,0,2072,119,1,210,1,24.28,38.06
A-S07,1,30,B,0.686,P2,ACTIVE,0,380,29,0,20,1,33.13,42.05
A-S07,1,31,A,0.842,P1,ACTIVE,0,261,165,0,366,1,0.93,33.4
A-S07,1,32,B,0.836,P1,ACTIVE,0,9,167,1,33,1,22.46,31.15
A-S07,1,33,C,0.715,P2,TERMINATED,1,14,42,1,354,1,1.51,16.18
A-S07,1,34,C,0.145,P4,ACTIVE,0,596,27,0,108,1,4.52,6.36
A-S07,1,35,B,0.505,P2,ACTIVE,0,215,107,1,189,1,23.39,1.33
A-S07,1,36,B,0.28,P3,ACTIVE,0,368,127,0,479,1,28.35,28.41
A-S07,1,37,A,0.186,P4,ACTIVE,0,88,24,0,65,1,17.98,11.61
A-S07,1,38,A,0.31,P3,ACTIVE,0,588,80,1,347,1,22.93,46.68
A-S07,1,39,C,0.45,P3,ACTIVE,0,43,59,1,722,1,18.1,46.32
A-S07,1,40,B,0.166,P4,TERMINATED,1,1607,102,1,247,1,5.1,46.21
A-S07,1,41,A,0.652,P2,ACTIVE,0,542,61,1,93,1,46.37,3.62
A-S07,1,42,B,0.406,P3,ACTIVE,0,468,28,0,58,1,5.26,2.55
A-S07,1,43,C,0.212,P4,ACTIVE,0,52,33,1,51,1,47.2,5.4
A-S07,1,44,B,0.702,P2,ACTIVE,0,280,60,1,238,1,38.54,8.78
A-S07,1,45,A,0.548,P2,ACTIVE,0,435,187,1,302,1,42.49,24.16
A-S07,1,46,A,0.348,P3,ACTIVE,0,20,31,0,227,1,9.15,32.61
A-S07,1,47,C,0.931,P1,ACTIVE,0,137,33,1,444,0,26.3,1.13
A-S07,1,48,A,0.516,P2,TERMINATED,1,197,11,0,136,1,18.35,39.62
A-S07,1,49,B,0.86,P1,ACTIVE,0,51,60,1,369,1,49.99,11.2
A-S07,1,50,B,0.746,P2,ACTIVE,0,186,41,1,234,1,26.53,8.3
A-S07,1,51,A,0.253,P3,TERMINATED,1,398,16,0,39,0,48.18,39.43
A-S07,1,52,B,0.452,P3,TERMINATED,1,257,11,0,12,0,28.58,8.29
A-S07,1,53,B,0.402,P3,ACTIVE,0,495,20,1,373,1,45.14,47.78
A-S07,1,54,B,0.491,P3,ACTIVE,0,205,108,1,66,1,16,25.72
A-S07,1,55,B,0.487,P3,ACTIVE,0,652,27,1,359,0,40.78,35.68
A-S07,1,56,A,0.342,P3,ACTIVE,0,165,42,1,281,1,6.6,26.43
A-S07,1,57,C,0.332,P3,TERMINATED,1,88,48,1,172,0,37.89,35.06
A-S07,1,58,A,0.775,P1,ACTIVE,0,761,104,1,123,1,17.82,22.06
A-S07,1,59,B,0.9,P1,ACTIVE,0,290,92,1,35,1,31.91,1.95
A-S07,1,60,B,0.343,P3,ACTIVE,0,177,106,0,87,1,2.54,21.52
A-S07,1,61,B,0.327,P3,ACTIVE,0,63,69,0,271,1,37.57,49.33
A-S07,1,62,A,0.277,P3,ACTIVE,0,78,55,1,321,1,23.48,46.07
A-S07,1,63,A,0.13,P4,ACTIVE,0,174,3,1,113,1,39.08,6.48
A-S07,1,64,A,0.273,P3,TERMINATED,1,314,14,1,344,1,8.79,36.52
A-S07,1,65,A,0.864,P1,ACTIVE,0,83,45,0,43,1,41.75,49.26
A-S07,1,66,C,0.407,P3,ACTIVE,0,699,20,1,31,1,2.72,29.07
A-S07,1,67,A,0.295,P3,TERMINATED,1,25,59,0,90,0,8.27,49.06
A-S07,1,68,B,0.104,P4,ACTIVE,0,1419,178,1,164,1,28.78,29.43
A-S07,1,69,C,0.798,P1,TERMINATED,1,355,183,1,539,1,43.78,23.73
A-S07,1,70,A,0.307,P3,ACTIVE,0,83,109,1,73,1,39.51,20.49
A-S07,1,71,B,0.812,P1,ACTIVE,0,584,75,1,327,1,18.68,46.36
A-S07,1,72,B,0.812,P1,ACTIVE,0,99,65,0,159,1,35.71,33.94
A-S07,1,73,A,0.157,P4,ACTIVE,0,220,39,0,14,1,9.44,32.86
A-S07,1,74,A,0.579,P2,TERMINATED,1,235,87,0,104,1,26.59,23.52
A-S07,1,75,A,0.26,P3,ACTIVE,0,214,24,0,564,1,46.7,26.98
A-S07,1,76,A,0.576,P2,TERMINATED,1,171,5,0,199,0,4.37,14.26
A-S07,1,77,C,0.145,P4,TERMINATED,1,201,122,0,73,0,44.88,49.25
A-S07,1,78,A,0.865,P1,ACTIVE,0,279,125,0,115,1,7.56,29.83
A-S07,1,79,A,0.366,P3,TERMINATED,1,1036,39,1,276,1,19.16,47.52
A-S07,1,80,A,0.734,P2,TERMINATED,1,31,125,1,128,1,3.03,31.09
A-S07,2,1,C,0.642,P2,ACTIVE,0,89,92,0,83,1,20.01,31.25
A-S07,2,2,A,0.903,P1,TERMINATED,1,371,59,0,208,1,18.68,42
A-S07,2,3,A,0.808,P1,ACTIVE,0,304,101,1,234,1,29.59,33.56
A-S07,2,4,A,0.923,P1,TERMINATED,1,621,105,1,198,1,24.52,38.47
A-S07,2,5,C,0.768,P1,TERMINATED,1,107,80,0,504,1,18.36,28.7
A-S07,2,6,A,0.239,P4,TERMINATED,1,175,40,1,42,1,40.72,17.78
A-S07,2,7,B,0.556,P2,ACTIVE,0,404,20,1,96,1,9.96,11
A-S07,2,8,A,0.344,P3,ACTIVE,0,209,3,0,64,1,39.86,9.91
A-S07,2,9,A,0.938,P1,ACTIVE,0,349,111,0,603,1,9.44,20.75
A-S07,2,10,C,0.754,P1,TERMINATED,1,406,116,0,201,1,41.61,6.12
A-S07,2,11,B,0.7,P2,ACTIVE,0,810,113,1,45,1,1.42,29.02
A-S07,2,12,A,0.823,P1,TERMINATED,1,631,8,0,90,0,31.5,24.78
A-S07,2,13,A,0.21,P4,ACTIVE,0,318,21,1,27,1,45.87,12.72
A-S07,2,14,A,0.14,P4,ACTIVE,0,383,115,1,70,1,21.9,10.92
A-S07,2,15,B,0.626,P2,ACTIVE,0,21,157,1,32,0,17.01,0.09
A-S07,2,16,A,0.449,P3,ACTIVE,0,563,31,1,33,1,29.57,22.71
A-S07,2,17,C,0.794,P1,ACTIVE,0,532,38,1,69,1,39.95,12.36
A-S07,2,18,A,0.346,P3,ACTIVE,0,62,44,1,86,1,29.45,49.63
A-S07,2,19,B,0.501,P2,ACTIVE,0,192,168,1,84,1,16.96,30.21
A-S07,2,20,C,0.898,P1,ACTIVE,0,501,97,1,161,1,5.49,25.46
A-S07,2,21,A,0.339,P3,TERMINATED,1,226,248,1,13,0,44.4,29.6
A-S07,2,22,A,0.531,P2,ACTIVE,0,41,48,0,12,1,44.29,14.24
A-S07,2,23,A,0.871,P1,TERMINATED,1,477,82,0,490,0,10.55,29.9
A-S07,2,24,A,0.242,P4,ACTIVE,0,164,39,1,178,1,48.12,21.64
A-S07,2,25,A,0.785,P1,TERMINATED,1,312,63,1,474,1,16.01,22.4
A-S07,2,26,A,0.337,P3,ACTIVE,0,91,81,0,151,1,45.46,13.33
A-S07,2,27,B,0.892,P1,ACTIVE,0,469,46,1,86,1,33.82,25.55
A-S07,2,28,A,0.948,P1,ACTIVE,0,681,41,0,272,1,40.8,44.43
A-S07,2,29,C,0.862,P1,TERMINATED,1,40,126,1,8,0,11.54,9.85
A-S07,2,30,A,0.899,P1,ACTIVE,0,277,73,0,32,1,42.85,0.29
A-S07,2,31,A,0.152,P4,ACTIVE,0,131,39,1,2,1,19.61,47.95
A-S07,2,32,C,0.881,P1,TERMINATED,1,330,57,1,895,1,15.65,20.63
A-S07,2,33,A,0.2,P4,ACTIVE,0,186,102,1,409,1,47.5,28.68
A-S07,2,34,A,0.757,P1,ACTIVE,0,244,31,1,54,1,29.2,44.82
A-S07,2,35,B,0.604,P2,ACTIVE,0,285,252,0,672,1,38.26,46.11
A-S07,2,36,A,0.618,P2,ACTIVE,0,105,107,1,124,1,30.65,26.09
A-S07,2,37,A,0.108,P4,ACTIVE,0,467,73,1,50,1,34.35,39.08
A-S07,2,38,A,0.511,P2,ACTIVE,0,177,114,1,155,1,31,29.31
A-S07,2,39,A,0.281,P3,ACTIVE,0,223,66,1,89,0,5.77,38.27
A-S07,2,40,A,0.514,P2,ACTIVE,0,276,16,1,16,1,29.1,36.27
A-S07,2,41,A,0.695,P2,ACTIVE,0,166,13,0,73,1,3.02,44.06
A-S07,2,42,B,0.332,P3,ACTIVE,0,449,91,1,178,1,8.83,46.84
A-S07,2,43,B,0.349,P3,TERMINATED,1,224,111,1,295,1,48.22,22.93
A-S07,2,44,B,0.744,P2,TERMINATED,1,1619,48,0,208,1,33.14,11.23
A-S07,2,45,A,0.466,P3,ACTIVE,0,114,49,1,187,0,13.32,14.73
A-S07,2,46,B,0.753,P1,ACTIVE,0,619,37,0,170,1,44.61,28.74
A-S07,2,47,A,0.448,P3,TERMINATED,1,277,10,0,774,0,27.81,38.1
A-S07,2,48,B,0.603,P2,ACTIVE,0,74,135,1,128,1,19.96,13.79
A-S07,2,49,B,0.431,P3,TERMINATED,1,273,34,0,197,1,32.23,21.27
A-S07,2,50,B,0.598,P2,TERMINATED,1,458,298,1,133,0,28.8,49.06
A-S07,2,51,A,0.925,P1,TERMINATED,1,647,54,1,165,1,10.34,21.84
A-S07,2,52,B,0.651,P2,ACTIVE,0,280,22,1,28,0,47.4,4.79
A-S07,2,53,B,0.476,P3,ACTIVE,0,160,65,1,98,1,1.75,35.56
A-S07,2,54,A,0.48,P3,TERMINATED,1,98,83,0,184,0,15.39,24.27
A-S07,2,55,B,0.614,P2,TERMINATED,1,68,45,1,394,0,3.8,21.73
A-S07,2,56,A,0.454,P3,ACTIVE,0,662,95,0,124,1,5.66,25.84
A-S07,2,57,A,0.929,P1,ACTIVE,0,256,101,1,216,1,9.08,9.82
A-S07,2,58,B,0.727,P2,ACTIVE,0,146,110,1,500,1,25.69,25.14
A-S07,2,59,C,0.382,P3,ACTIVE,0,462,65,0,224,1,28.84,44.81
A-S07,2,60,A,0.357,P3,ACTIVE,0,192,31,1,18,0,15.63,43.02
A-S07,2,61,A,0.718,P2,ACTIVE,0,296,52,0,322,1,16.72,25.79
A-S07,2,62,B,0.253,P3,ACTIVE,0,330,84,1,201,1,2.04,27.29
A-S07,2,63,A,0.922,P1,ACTIVE,0,432,11,0,102,1,46.93,0.15
A-S07,2,64,A,0.246,P4,ACTIVE,0,126,193,1,42,0,31.43,26.56
A-S07,2,65,C,0.27,P3,ACTIVE,0,121,22,1,393,1,44.86,44.67
A-S07,2,66,B,0.147,P4,ACTIVE,0,344,204,0,22,1,1.41,39.33
A-S07,2,67,A,0.52,P2,ACTIVE,0,99,67,1,337,1,21.1,9.2
A-S07,2,68,C,0.312,P3,TERMINATED,1,709,87,0,187,0,1.51,21.72
A-S07,2,69,A,0.588,P2,ACTIVE,0,422,161,0,231,1,27.42,20.75
A-S07,2,70,A,0.908,P1,TERMINATED,1,24,205,1,196,1,5.77,38.59
A-S07,2,71,C,0.182,P4,ACTIVE,0,12,53,1,3,1,2.07,6.81
A-S07,2,72,C,0.17,P4,ACTIVE,0,178,194,1,140,0,17.71,24.24
A-S07,2,73,B,0.484,P3,ACTIVE,0,174,30,0,169,1,27.83,49.76
A-S07,2,74,B,0.282,P3,ACTIVE,0,333,56,1,88,1,22.44,40.76
A-S07,2,75,A,0.627,P2,ACTIVE,0,4,31,1,210,1,27.08,49
A-S07,2,76,B,0.644,P2,TERMINATED,1,297,63,1,9,0,14.78,48.64
A-S07,2,77,B,0.662,P2,ACTIVE,0,489,193,1,96,1,36.17,1.72
A-S07,2,78,A,0.55,P2,TERMINATED,1,215,77,1,33,0,5.5,25.86
A-S07,2,79,A,0.11,P4,ACTIVE,0,353,257,1,169,1,32.56,47.24
A-S07,2,80,A,0.395,P3,ACTIVE,0,213,55,1,47,0,24.04,36.23
A-S07,3,1,A,0.352,P3,ACTIVE,0,407,153,1,229,1,38.82,17.5
A-S07,3,2,B,0.108,P4,TERMINATED,1,774,91,0,85,0,27.08,0.61
A-S07,3,3,A,0.91,P1,TERMINATED,1,465,56,1,66,0,2.11,43.41
A-S07,3,4,B,0.767,P1,ACTIVE,0,152,16,1,162,1,47.91,33.7
A-S07,3,5,A,0.665,P2,ACTIVE,0,83,47,1,59,1,43.28,3.67
A-S07,3,6,B,0.369,P3,TERMINATED,1,489,194,1,88,0,6.73,27.86
A-S07,3,7,B,0.817,P1,TERMINATED,1,128,21,0,101,0,24.69,16.2
A-S07,3,8,B,0.35,P3,TERMINATED,1,184,12,1,40,1,35.9,47.4
A-S07,3,9,B,0.79,P1,ACTIVE,0,398,167,1,164,1,21.91,14.1
A-S07,3,10,C,0.614,P2,ACTIVE,0,39,51,1,82,1,13.43,46.41
A-S07,3,11,A,0.715,P2,ACTIVE,0,672,39,0,285,1,2.13,9.89
A-S07,3,12,B,0.552,P2,ACTIVE,0,338,27,1,490,1,47.94,12.46
A-S07,3,13,A,0.715,P2,TERMINATED,1,150,286,1,38,1,7.07,5.84
A-S07,3,14,C,0.45,P3,TERMINATED,1,176,95,0,399,0,6.03,44.76
A-S07,3,15,A,0.643,P2,ACTIVE,0,806,153,1,601,1,19.31,17.41
A-S07,3,16,B,0.728,P2,TERMINATED,1,79,51,0,171,0,9.42,38.27
A-S07,3,17,B,0.647,P2,TERMINATED,1,71,78,1,310,1,35.71,2.43
A-S07,3,18,B,0.356,P3,ACTIVE,0,7,119,0,79,0,47.77,17
A-S07,3,19,C,0.426,P3,ACTIVE,0,295,22,1,164,1,9.09,18.82
A-S07,3,20,B,0.542,P2,TERMINATED,1,55,123,0,26,0,42.13,8.4
A-S07,3,21,A,0.143,P4,ACTIVE,0,297,52,0,281,1,27.98,34.26
A-S07,3,22,A,0.646,P2,TERMINATED,1,202,65,1,145,0,27.81,5.92
A-S07,3,23,B,0.578,P2,ACTIVE,0,229,41,0,346,1,25.01,9.07
A-S07,3,24,A,0.1,P4,ACTIVE,0,111,121,1,246,0,1.27,39.19
A-S07,3,25,B,0.208,P4,ACTIVE,0,79,106,1,216,1,42.5,14.01
A-S07,3,26,A,0.634,P2,TERMINATED,1,455,263,1,209,1,43.86,46.13
A-S07,3,27,B,0.511,P2,TERMINATED,1,100,213,0,138,0,29.2,17.82
A-S07,3,28,A,0.755,P1,TERMINATED,1,584,50,0,246,0,37.19,22.89
A-S07,3,29,B,0.646,P2,ACTIVE,0,202,95,0,55,1,13.79,16.86
A-S07,3,30,A,0.723,P2,ACTIVE,0,573,224,0,94,1,48.28,6.49
A-S07,3,31,B,0.544,P2,ACTIVE,0,123,34,0,149,1,32.09,27.73
A-S07,3,32,A,0.244,P4,TERMINATED,1,220,143,1,301,1,13.61,17.79
A-S07,3,33,A,0.715,P2,ACTIVE,0,11,83,1,155,1,48.42,5.58
A-S07,3,34,B,0.508,P2,ACTIVE,0,224,76,0,97,1,41.06,38.31
A-S07,3,35,B,0.659,P2,ACTIVE,0,140,101,1,47,1,15.2,17.03
A-S07,3,36,C,0.374,P3,TERMINATED,1,0,133,0,138,1,38.67,23.76
A-S07,3,37,B,0.925,P1,TERMINATED,1,196,81,0,128,1,7.77,10.74
A-S07,3,38,B,0.183,P4,TERMINATED,1,190,37,1,73,1,17.33,24.56
A-S07,3,39,B,0.88,P1,ACTIVE,0,90,60,0,16,1,20.93,20.32
A-S07,3,40,A,0.512,P2,ACTIVE,0,36,199,0,262,1,41.26,27.02
A-S07,3,41,A,0.88,P1,TERMINATED,1,207,10,1,411,1,40.35,35.89
A-S07,3,42,A,0.422,P3,TERMINATED,1,137,37,1,429,1,29.21,26.78
A-S07,3,43,A,0.851,P1,ACTIVE,0,31,186,0,18,1,46.74,48.09
A-S07,3,44,B,0.577,P2,TERMINATED,1,788,152,1,45,0,47.15,7.64
A-S07,3,45,B,0.401,P3,ACTIVE,0,498,127,0,13,1,28.85,37.66
A-S07,3,46,B,0.318,P3,TERMINATED,1,159,138,1,86,0,47.77,32.4
A-S07,3,47,C,0.124,P4,TERMINATED,1,282,125,1,97,1,24.93,22.15
A-S07,3,48,A,0.621,P2,ACTIVE,0,69,125,1,162,1,3.09,32.43
A-S07,3,49,B,0.81,P1,ACTIVE,0,342,67,1,579,1,12.92,49.26
A-S07,3,50,C,0.539,P2,ACTIVE,0,76,52,1,423,1,43.18,2.27
A-S07,3,51,A,0.488,P3,ACTIVE,0,629,100,1,39,1,36.19,5.34
A-S07,3,52,B,0.391,P3,ACTIVE,0,75,96,1,109,0,37.54,34.94
A-S07,3,53,B,0.421,P3,ACTIVE,0,460,28,0,202,1,44.27,45.5
A-S07,3,54,B,0.573,P2,TERMINATED,1,392,75,0,124,0,15.16,49.83
A-S07,3,55,A,0.717,P2,ACTIVE,0,899,21,1,89,1,33.2,6.61
A-S07,3,56,B,0.801,P1,ACTIVE,0,264,47,1,112,0,2.82,6.82
A-S07,3,57,B,0.726,P2,TERMINATED,1,335,73,0,18,0,12.69,35.45
A-S07,3,58,A,0.385,P3,ACTIVE,0,34,258,0,54,1,38.7,14.2
A-S07,3,59,A,0.571,P2,ACTIVE,0,235,18,1,40,1,19.6,16.64
A-S07,3,60,C,0.351,P3,TERMINATED,1,215,55,1,44,1,23.51,16.81
A-S07,3,61,B,0.948,P1,TERMINATED,1,145,12,0,49,0,38.22,11.36
A-S07,3,62,B,0.414,P3,ACTIVE,0,456,73,1,369,1,40.27,44.43
A-S07,3,63,C,0.137,P4,ACTIVE,0,115,49,1,679,0,17.48,45.69
A-S07,3,64,A,0.441,P3,ACTIVE,0,271,71,1,492,1,3.31,45.04
A-S07,3,65,C,0.215,P4,ACTIVE,0,608,46,0,42,1,28.52,6.11
A-S07,3,66,A,0.281,P3,TERMINATED,1,86,100,0,240,0,43.82,3.17
A-S07,3,67,B,0.237,P4,TERMINATED,1,177,96,0,46,1,27.05,15.74
A-S07,3,68,A,0.664,P2,TERMINATED,1,360,214,0,179,0,31.19,31.54
A-S07,3,69,A,0.355,P3,ACTIVE,0,946,22,1,487,1,45.12,33.9
A-S07,3,70,B,0.19,P4,ACTIVE,0,209,134,1,63,1,48.77,11.15
A-S07,3,71,A,0.54,P2,ACTIVE,0,58,143,0,554,1,11.29,10.07
A-S07,3,72,A,0.296,P3,TERMINATED,1,74,60,1,20,1,6.52,9.8
A-S07,3,73,B,0.11,P4,ACTIVE,0,311,107,1,321,1,17.64,36.16
A-S07,3,74,A,0.875,P1,TERMINATED,1,15,93,1,418,0,30.67,16.99
A-S07,3,75,B,0.419,P3,TERMINATED,1,277,163,1,523,1,49.39,19.08
A-S07,3,76,C,0.455,P3,ACTIVE,0,50,62,1,122,1,41.61,27.91
A-S07,3,77,A,0.346,P3,ACTIVE,0,69,32,1,171,1,10.89,39.92
A-S07,3,78,A,0.251,P3,ACTIVE,0,603,239,1,432,1,27.07,20.78
A-S07,3,79,C,0.814,P1,ACTIVE,0,170,130,1,371,1,9.72,25.86
A-S07,3,80,B,0.832,P1,ACTIVE,0,356,188,0,256,1,25.47,35.78
A-S07,4,1,B,0.606,P2,ACTIVE,0,505,129,0,10,1,49.29,48.28
A-S07,4,2,C,0.648,P2,ACTIVE,0,24,67,1,11,1,41.4,41.26
A-S07,4,3,B,0.245,P4,ACTIVE,0,888,32,1,132,1,12.67,2.79
A-S07,4,4,A,0.669,P2,ACTIVE,0,295,126,1,589,1,31.28,9.62
A-S07,4,5,A,0.811,P1,TERMINATED,1,791,93,1,145,1,18.34,13.79
A-S07,4,6,A,0.876,P1,TERMINATED,1,81,104,1,247,1,9.79,26.98
A-S07,4,7,A,0.121,P4,ACTIVE,0,49,67,1,211,1,46.18,47.91
A-S07,4,8,B,0.314,P3,TERMINATED,1,349,21,0,412,0,20.8,27.67
A-S07,4,9,A,0.814,P1,ACTIVE,0,308,27,0,23,1,34.82,46.97
A-S07,4,10,A,0.481,P3,ACTIVE,0,158,57,0,112,1,45.1,34.61
A-S07,4,11,B,0.909,P1,ACTIVE,0,266,51,1,566,1,16.29,11.46
A-S07,4,12,A,0.5,P3,ACTIVE,0,728,136,0,151,1,41.71,17.33
A-S07,4,13,B,0.546,P2,TERMINATED,1,435,123,1,82,0,30.14,13.69
A-S07,4,14,B,0.344,P3,ACTIVE,0,163,108,1,129,1,45.09,16.82
A-S07,4,15,A,0.104,P4,ACTIVE,0,70,21,0,80,1,45.95,13.19
A-S07,4,16,A,0.93,P1,ACTIVE,0,501,102,1,213,1,38.22,41.18
A-S07,4,17,A,0.599,P2,ACTIVE,0,311,34,0,239,1,49.59,38.24
A-S07,4,18,C,0.161,P4,ACTIVE,0,633,4,0,195,0,8.96,1.05
A-S07,4,19,B,0.16,P4,TERMINATED,1,32,345,0,144,0,12.96,37.65
A-S07,4,20,A,0.34,P3,ACTIVE,0,326,231,0,280,0,26.09,20.53
A-S07,4,21,C,0.283,P3,ACTIVE,0,48,157,1,58,0,0.75,10.88
A-S07,4,22,A,0.634,P2,TERMINATED,1,122,22,1,127,1,48.08,30.02
A-S07,4,23,C,0.156,P4,ACTIVE,0,138,12,0,31,1,30.35,37.45
A-S07,4,24,B,0.217,P4,ACTIVE,0,37,194,0,163,1,12.45,19.6
A-S07,4,25,A,0.229,P4,TERMINATED,1,187,26,1,288,1,18.06,15.35
A-S07,4,26,A,0.817,P1,ACTIVE,0,240,33,1,100,1,9.76,34.2
A-S07,4,27,B,0.785,P1,ACTIVE,0,45,149,1,86,1,25.81,0.65
A-S07,4,28,A,0.167,P4,TERMINATED,1,237,14,0,155,1,10.82,14.24
A-S07,4,29,C,0.279,P3,TERMINATED,1,262,48,1,37,0,47.55,29.18
A-S07,4,30,A,0.311,P3,ACTIVE,0,1498,63,0,201,1,26.99,13.77
A-S07,4,31,C,0.374,P3,ACTIVE,0,149,62,1,303,1,17.99,29.44
A-S07,4,32,A,0.568,P2,TERMINATED,1,3,184,0,51,1,14.11,23.77
A-S07,4,33,A,0.806,P1,ACTIVE,0,90,54,0,179,1,39.14,18.34
A-S07,4,34,A,0.914,P1,TERMINATED,1,288,204,0,212,1,47.98,25.44
A-S07,4,35,B,0.606,P2,TERMINATED,1,473,318,0,419,1,22.91,22.33
A-S07,4,36,B,0.453,P3,ACTIVE,0,38,116,1,441,1,22.48,4.19
A-S07,4,37,A,0.684,P2,ACTIVE,0,97,25,1,401,1,34.73,32.62
A-S07,4,38,B,0.14,P4,ACTIVE,0,334,15,1,159,1,40.77,44.02
A-S07,4,39,C,0.36,P3,ACTIVE,0,119,40,0,65,1,49.16,27.94
A-S07,4,40,B,0.95,P1,TERMINATED,1,759,69,0,485,1,15.9,24.23
A-S07,4,41,B,0.356,P3,ACTIVE,0,506,3,1,47,1,41.19,11.26
A-S07,4,42,B,0.184,P4,TERMINATED,1,59,79,1,298,1,49.02,30.62
A-S07,4,43,A,0.359,P3,ACTIVE,0,69,228,0,30,1,45.43,9.45
A-S07,4,44,A,0.779,P1,TERMINATED,1,52,74,1,223,0,2.9,43.88
A-S07,4,45,C,0.565,P2,ACTIVE,0,416,92,0,154,1,35.5,18.21
A-S07,4,46,B,0.228,P4,ACTIVE,0,278,114,0,86,0,44.32,29.55
A-S07,4,47,B,0.919,P1,ACTIVE,0,228,121,0,193,1,21.13,40.17
A-S07,4,48,A,0.647,P2,ACTIVE,0,70,98,1,152,0,2.35,8.59
A-S07,4,49,B,0.928,P1,ACTIVE,0,308,128,1,238,1,24.89,15.98
A-S07,4,50,B,0.737,P2,ACTIVE,0,187,10,0,223,1,42.85,8.45
A-S07,4,51,B,0.577,P2,TERMINATED,1,653,112,1,612,1,14.03,28.1
A-S07,4,52,C,0.937,P1,ACTIVE,0,114,55,0,109,1,29.46,32.13
A-S07,4,53,C,0.218,P4,ACTIVE,0,635,190,0,577,1,2.79,18.9
A-S07,4,54,C,0.912,P1,TERMINATED,1,195,61,1,64,0,5.11,47.74
A-S07,4,55,A,0.915,P1,ACTIVE,0,277,49,1,302,1,49.89,5.7
A-S07,4,56,B,0.147,P4,ACTIVE,0,181,19,1,92,0,22.07,26.65
A-S07,4,57,B,0.296,P3,ACTIVE,0,18,13,0,65,1,43.87,14.52
A-S07,4,58,C,0.921,P1,TERMINATED,1,144,19,1,257,0,3.28,46.76
A-S07,4,59,C,0.74,P2,TERMINATED,1,816,275,1,160,0,15.53,10.5
A-S07,4,60,B,0.134,P4,ACTIVE,0,245,98,0,12,1,22.71,19.56
A-S07,4,61,A,0.679,P2,ACTIVE,0,213,114,1,113,1,43.8,6.98
A-S07,4,62,B,0.842,P1,ACTIVE,0,266,59,0,125,0,16.81,38.26
A-S07,4,63,B,0.259,P3,TERMINATED,1,219,36,0,155,1,26.43,2.32
A-S07,4,64,B,0.534,P2,TERMINATED,1,397,173,0,447,0,18.39,3.25
A-S07,4,65,A,0.387,P3,TERMINATED,1,31,83,0,272,0,20.6,8.34
A-S07,4,66,B,0.557,P2,ACTIVE,0,131,68,1,62,1,9.18,34.21
A-S07,4,67,B,0.696,P2,TERMINATED,1,200,147,0,30,0,44.91,0.19
A-S07,4,68,B,0.49,P3,ACTIVE,0,111,28,1,95,1,31.94,2.49
